DATE,ACTUAL,DESV,CONS,
09/02/2015 (Aug 21),4.667,1.35,0.032,
08/26/2015 (Aug 21),-5.452,-2.22,1.022,
08/19/2015 (Aug 15),2.62,2.17,-0.777,
08/12/2015 (Aug 7),-1.682,0.04,-1.767,
08/05/2015 (Jul 31),-4.407,-0.91,-1.3,
07/29/2015 (Jul 24),-4.203,-1.28,-0.184,
07/22/2015 (Jul 17),2.468,,,
07/15/2015 (Jul 10),-4.346,-0.97,-1.158,
07/08/2015 (Jul 3),0.384,0.34,-0.7,
07/01/2015 (Jun 26),2.386,2.47,-2.075,
06/24/2015 (Jun 19),-4.934,-1.62,-2.1,
06/17/2015 (Jun 12),-2.676,-0.49,-1.833,
06/10/2015 (Jun 5),-6.812,-2.8,-1.7,
06/03/2015 (May 29),-1.948,-0.12,-1.7,
05/28/2015 (May 22),-2.802,-0.29,-2.025,
05/20/2015 (May 15),-2.674,-0.6,-1.029,
05/13/2015 (May 8),-2.191,-0.58,0.386,
05/06/2015 (May 1),-3.882,-1.61,1.55,
04/29/2015 (Apr 24),1.91,0.17,1.333,
04/22/2015 (Apr 17),5.315,0.67,2.888,
04/15/2015 (Apr 10),1.294,-0.96,4.057,
04/08/2015 (Apr 3),10.949,2.95,3.429,
04/01/2015 (Mar 27),4.766,0.26,4.188,
03/25/2015 (Mar 20),8.17,1.38,5.133,
03/18/2015 (Mar 13),9.622,2.41,4,
03/11/2015 (Mar 6),4.512,0.01,4.5,
03/04/2015 (Feb 27),10.303,4.58,4,
02/25/2015 (Feb 20),8.4,2.09,4,
02/19/2015 (Feb 13),7.716,2.1,3.233,
02/11/2015 (Feb 6),4.868,0.29,3.733,
02/04/2015 (Jan 30),6.3,0.64,3.467,
01/28/2015 (Jan 23),8.874,1.02,4.08,
01/22/2015 (Jan 16),10.071,2.18,2.617,
01/14/2015 (Jan 9),5.389,1.6,0.417,
01/07/2015 (Jan 2),-3.062,-1.21,0.88,
12/31/2014 (Dec 26),-1.754,-0.63,0.2,
12/24/2014 (Dec 19),7.267,,,
12/17/2014 (Dec 12),-0.847,0.53,-2.6,
12/10/2014 (Dec 5),1.454,1.47,-2.6,
12/03/2014 (Nov 28),-3.689,-2.06,0.7,
11/26/2014 (Nov 21),1.946,0.7,0.4,
11/19/2014 (Nov 14),2.608,6.11,-0.7,
11/13/2014 (Nov 7),-1.735,-1.23,0.7,
11/05/2014 (Oct 31),0.46,-0.62,1.8,
10/29/2014 (Oct 24),2.061,-0.51,3.3,
10/22/2014 (Oct 17),7.111,,,
10/16/2014 (Oct 10),8.923,,,
10/08/2014 (Oct 3),5.015,1.21,2.1,
10/01/2014 (Sep 26),-1.363,-0.71,0.6,
09/24/2014 (Sep 19),-4.273,,,
09/17/2014 (Sep 12),3.673,3.05,-0.9,
09/10/2014 (Sep 5),-0.972,0.02,-1,
09/04/2014 (Aug 29),-0.905,0,-0.9,
08/27/2014 (Aug 22),-2.07,-5.23,1.1,
08/20/2014 (Aug 15),-4.474,,,
08/13/2014 (Aug 8),1.401,,,
08/06/2014 (Aug 1),-1.756,-0.37,-1.1,
07/30/2014 (Jul 25),-3.697,,,
07/23/2014 (Jul 18),-3.969,-0.54,-2.1,
07/16/2014 (Jul 11),-7.525,-3.06,-2.1,
07/09/2014 (Jul 4),-2.37,,,
07/02/2014 (Jun 27),-3.155,,,
06/25/2014 (Jun 20),1.742,0.96,-1.2,
06/18/2014 (Jun 13),-0.579,0.01,-0.6,
